nohup: ignoring input
BFS depth 1: frontier=6, visited=7
BFS depth 2: frontier=32, visited=39
BFS depth 3: frontier=140, visited=179
BFS depth 4: frontier=624, visited=803
BFS depth 5: frontier=2854, visited=3657
BFS depth 6: frontier=12186, visited=15843
BFS depth 7: frontier=48259, visited=64102
BFS depth 8: frontier=181802, visited=245904
BFS depth 9: frontier=597767, visited=843671
BFS depth 10: frontier=1591431, visited=2435102
BFS depth 11: frontier=3301119, visited=5736221
BFS depth 12: frontier=5501672, visited=11237893
BFS depth 13: frontier=7919983, visited=19157876
BFS depth 14: frontier=10449369, visited=29607245
BFS depth 15: frontier=12394952, visited=42002197
BFS depth 16: frontier=13556307, visited=55558504
BFS depth 17: frontier=14045935, visited=69604439
BFS depth 18: frontier=14629260, visited=84233699
BFS depth 19: frontier=14867920, visited=99101619
BFS depth 20: frontier=15003812, visited=114105431
BFS depth 21: frontier=14406584, visited=128512015
BFS depth 22: frontier=13509901, visited=142021916
BFS depth 23: frontier=12357063, visited=154378979
BFS depth 24: frontier=11288300, visited=165667279
BFS depth 25: frontier=10330829, visited=175998108
BFS depth 26: frontier=9610557, visited=185608665
BFS depth 27: frontier=8973794, visited=194582459
BFS depth 28: frontier=8504009, visited=203086468
BFS depth 29: frontier=7943374, visited=211029842
BFS depth 30: frontier=7369876, visited=218399718
BFS depth 31: frontier=6705492, visited=225105210
BFS depth 32: frontier=5966149, visited=231071359
BFS depth 33: frontier=5267166, visited=236338525
BFS depth 34: frontier=4560468, visited=240898993
BFS depth 35: frontier=3952978, visited=244851971
BFS depth 36: frontier=3414457, visited=248266428
BFS depth 37: frontier=3026059, visited=251292487
BFS depth 38: frontier=2774800, visited=254067287
BFS depth 39: frontier=2593046, visited=256660333
BFS depth 40: frontier=2517025, visited=259177358
BFS depth 41: frontier=2357004, visited=261534362
BFS depth 42: frontier=2245236, visited=263779598
BFS depth 43: frontier=2084082, visited=265863680
BFS depth 44: frontier=2018473, visited=267882153
BFS depth 45: frontier=1957989, visited=269840142
BFS depth 46: frontier=1863322, visited=271703464
BFS depth 47: frontier=1681369, visited=273384833
BFS depth 48: frontier=1417545, visited=274802378
BFS depth 49: frontier=1180589, visited=275982967
BFS depth 50: frontier=943966, visited=276926933
BFS depth 51: frontier=794402, visited=277721335
BFS depth 52: frontier=636444, visited=278357779
BFS depth 53: frontier=560688, visited=278918467
BFS depth 54: frontier=460385, visited=279378852
BFS depth 55: frontier=416240, visited=279795092
BFS depth 56: frontier=333042, visited=280128134
BFS depth 57: frontier=286826, visited=280414960
BFS depth 58: frontier=230875, visited=280645835
BFS depth 59: frontier=206896, visited=280852731
BFS depth 60: frontier=194899, visited=281047630
BFS depth 61: frontier=190033, visited=281237663
BFS depth 62: frontier=192843, visited=281430506
BFS depth 63: frontier=197008, visited=281627514
BFS depth 64: frontier=188610, visited=281816124
BFS depth 65: frontier=179427, visited=281995551
BFS depth 66: frontier=146763, visited=282142314
BFS depth 67: frontier=116749, visited=282259063
BFS depth 68: frontier=86231, visited=282345294
BFS depth 69: frontier=70037, visited=282415331
BFS depth 70: frontier=65231, visited=282480562
BFS depth 71: frontier=63414, visited=282543976
BFS depth 72: frontier=61340, visited=282605316
BFS depth 73: frontier=63618, visited=282668934
BFS depth 74: frontier=55312, visited=282724246
BFS depth 75: frontier=46857, visited=282771103
BFS depth 76: frontier=31366, visited=282802469
BFS depth 77: frontier=20463, visited=282822932
BFS depth 78: frontier=11807, visited=282834739
BFS depth 79: frontier=6978, visited=282841717
BFS depth 80: frontier=3840, visited=282845557
BFS depth 81: frontier=2285, visited=282847842
BFS depth 82: frontier=1263, visited=282849105
BFS depth 83: frontier=734, visited=282849839
BFS depth 84: frontier=443, visited=282850282
BFS depth 85: frontier=243, visited=282850525
BFS depth 86: frontier=139, visited=282850664
BFS depth 87: frontier=83, visited=282850747
BFS depth 88: frontier=61, visited=282850808
BFS depth 89: frontier=42, visited=282850850
BFS depth 90: frontier=38, visited=282850888
BFS depth 91: frontier=31, visited=282850919
BFS depth 92: frontier=20, visited=282850939
BFS depth 93: frontier=15, visited=282850954
BFS depth 94: frontier=9, visited=282850963
BFS depth 95: frontier=5, visited=282850968
BFS depth 96: frontier=4, visited=282850972
BFS depth 97: frontier=3, visited=282850975
BFS depth 98: frontier=3, visited=282850978
BFS depth 99: frontier=2, visited=282850980
BFS depth 100: frontier=2, visited=282850982
BFS depth 101: frontier=1, visited=282850983
BFS depth 102: frontier=1, visited=282850984
BFS depth 103: frontier=1, visited=282850985
Enumeration complete: YES
Total unique positional states: 282850985
Maximum BFS depth: 103
Terminal states: 6531992
Duplicate attempts: 814785928
Legal transitions: 1097636912
Peak RSS: 13694930944 bytes
Results: ./experiments/ayo_state_space_results.json
